"tpc","msg","date"
"xbee/hum",35.2,"2017-01-13 00:51:07.856000"
"xbee/hum",35.3,"2017-01-13 00:51:09.878000"
"xbee/hum",35.2,"2017-01-13 00:51:11.875000"
"xbee/hum",35.3,"2017-01-13 00:51:15.907000"
"xbee/hum",35.2,"2017-01-13 00:51:18.026000"
"xbee/hum",35.3,"2017-01-13 00:51:22.111000"
"xbee/hum",35.3,"2017-01-13 00:51:32.169000"
"xbee/hum",35.4,"2017-01-13 00:51:36.246000"
"xbee/hum",35.3,"2017-01-13 00:51:38.318000"
"xbee/hum",35.4,"2017-01-13 00:51:40.394000"
"xbee/hum",35.3,"2017-01-13 00:51:42.442000"
"xbee/hum",35.4,"2017-01-13 00:51:50.508000"
"xbee/hum",35.3,"2017-01-13 00:51:52.587000"
"xbee/hum",35.4,"2017-01-13 00:51:56.649000"
"xbee/hum",35.3,"2017-01-13 00:51:58.708000"
"xbee/hum",35.4,"2017-01-13 00:52:00.849000"
"xbee/hum",35.3,"2017-01-13 00:52:08.848000"
"xbee/hum",35.4,"2017-01-13 00:52:14.873000"
"xbee/hum",35.3,"2017-01-13 00:52:18.953000"
"xbee/hum",35.4,"2017-01-13 00:52:21.032000"
"xbee/hum",35.3,"2017-01-13 00:52:25.109000"
"xbee/hum",35.4,"2017-01-13 00:52:27.132000"
"xbee/hum",35.3,"2017-01-13 00:52:29.286000"
"xbee/hum",35.4,"2017-01-13 00:52:33.288000"
"xbee/hum",35.3,"2017-01-13 00:52:35.342000"
"xbee/hum",35.4,"2017-01-13 00:52:37.388000"
"xbee/hum",35.3,"2017-01-13 00:52:39.432000"
"xbee/hum",35.4,"2017-01-13 00:52:41.546000"
"xbee/hum",35.3,"2017-01-13 00:52:43.561000"
"xbee/hum",35.4,"2017-01-13 00:52:53.667000"
"xbee/hum",35.3,"2017-01-13 00:52:55.748000"
"xbee/hum",35.3,"2017-01-13 00:53:05.771000"
"xbee/hum",35.4,"2017-01-13 00:53:09.946000"
"xbee/hum",35.2,"2017-01-13 00:53:11.940000"
"xbee/hum",35.4,"2017-01-13 00:53:14.070000"
"xbee/hum",35.3,"2017-01-13 00:53:16.014000"
"xbee/hum",35.4,"2017-01-13 00:53:18.099000"
"xbee/hum",35.3,"2017-01-13 00:53:20.082000"
"xbee/hum",35.4,"2017-01-13 00:53:30.337000"
"xbee/hum",35.3,"2017-01-13 00:53:32.360000"
"xbee/hum",35.4,"2017-01-13 00:53:42.483000"
"xbee/hum",35.2,"2017-01-13 00:53:48.512000"
